id,saleprice
2658,155473.82916094793
2718,172414.73155396106
2414,226129.86206427205
1989,111648.07156371622
625,162615.07370353487
333,77253.52904618534
1327,98555.19407600134
858,158496.3450714326
95,189053.89881275737
1568,161010.03284184914
2482,155193.4602084267
1364,118119.4055106784
2584,148733.2199258556
818,267337.36082490976
2673,154019.3119217149
2089,109143.4504915326
1297,145678.17619063606
790,115459.4610507378
2616,197094.1755256869
720,212861.32494134337
222,137760.93629686118
557,112421.13761515278
1148,189217.95149512484
2766,167967.4296411871
534,188774.15713935494
1452,121678.92335392133
630,117540.88736426219
2648,140448.0376480568
125,168710.373998645
1904,31458.03251904092
1670,97628.38383552503
756,77909.49146416859
717,252815.61931033677
1032,164792.4688536138
852,207864.03458802786
1731,192419.7924483021
2639,119926.24919477152
2071,68771.50836122592
1267,116404.92710217564
1851,194346.2716332359
567,170441.0616851005
2439,204640.26397103455
1898,141434.32209757774
647,168049.6198537268
2256,217806.27186508971
979,100999.31438967898
1444,224351.30132987842
2485,108693.40878297115
157,114415.4977873981
88,126162.9670092109
2003,113419.97705015428
186,231248.9859990985
1425,234620.8502956665
2695,125923.81972027392
738,87328.6483309902
395,155829.59251271273
1353,173424.69689437153
1878,132593.94050037392
390,164829.5587568635
1456,232532.80326380592
1103,343005.2535093174
1387,159739.2276891141
2070,128917.04351298786
1199,178232.41642429394
2479,184695.55918581077
501,305010.755954991
2362,90577.4017457988
1718,249222.4590972252
2188,65539.9537471505
1483,156549.96277777676
2557,52500.14612111273
437,371396.07701022504
2224,175831.534899571
1628,171122.02158269356
397,130069.58918175058
587,201977.95847906094
2182,617043.0932676395
971,129572.09272166195
2611,145809.85273388794
1887,93396.51820837538
2399,371685.686631592
2148,202525.25062039934
304,108939.80240246658
1997,138092.87669744328
2817,103668.49582082561
1431,191030.53492154396
427,352441.54323862086
263,119566.89692469932
598,181892.7515053446
2895,232618.57747392118
687,134155.3013183284
1822,134024.27084700338
2191,98547.18554321092
179,117309.65874246908
1009,248465.05239009144
2010,121156.52092445598
1991,137285.94114858127
1411,188546.36991078214
1721,253108.69571431453
1144,197065.4492492581
593,232259.0450828488
575,323188.7216631982
1249,164098.81554925014
1604,116125.81576694413
1064,465347.1916507527
1923,159190.42038719816
1988,120827.97839969382
2325,167400.78744684285
114,201674.12800113804
2700,208358.47299360606
217,148204.98207211914
343,172077.85998013316
386,226500.0230470746
2005,109215.32002129099
2908,133140.20067743334
1814,264351.1036741083
2446,475705.10619637114
208,141417.09847002281
