id,saleprice
2658,145372.35634780786
2718,147446.7450055236
2414,222502.75372452632
1989,109754.56849001936
625,166245.4995399898
333,84503.10290391743
1327,107103.62205464032
858,151372.32967823878
95,182256.42538461083
1568,162143.51953423693
2482,134365.41771793173
1364,124714.31105448789
2584,131213.95680559223
818,249083.76952722325
2673,162859.81216846214
2089,116641.25786639535
1297,164817.15891894087
790,124106.59330320166
2616,188045.74734404898
720,177411.99375836138
222,154231.8904576507
557,112509.49169024947
1148,183490.08540331986
2766,176239.3259483956
534,177688.97425728297
1452,120433.96785077063
630,116119.63835631555
2648,124351.07868917432
125,167157.09911711683
1904,56926.55115597643
1670,94101.71095920441
756,94718.23757971654
717,200317.61066874716
1032,151399.9272552756
852,198130.11499877303
1731,179865.71101554093
2639,132481.17094771453
2071,85691.37834084698
1267,112418.81509123818
1851,198653.05077279924
567,169154.20428978867
2439,206726.56441092625
1898,151961.35641514085
647,174530.67124283203
2256,194929.0781928902
979,90487.43078815885
1444,216040.1851779528
2485,122023.57541842916
157,124226.62307105871
88,116677.93426548952
2003,113083.52877354191
186,212934.6560943105
1425,229953.55650359025
2695,133444.34785430232
738,93851.8002922507
395,152079.99989471846
1353,178163.73229365383
1878,141653.74747688702
390,142527.37659355387
1456,225421.86378696602
1103,334550.2964210688
1387,152922.39982830553
2070,136711.04023058288
1199,160660.0081210428
2479,182065.26593775587
501,324583.24154826364
2362,86390.45572683954
1718,225915.0652698492
2188,93343.97480220592
1483,145500.8625799475
2557,89766.48232074606
437,368348.0859693442
2224,197266.74235050002
1628,168832.51976994897
397,139564.25316828833
587,196696.8827179097
2182,592848.030776693
971,160953.10779602354
2611,143788.90842554794
1887,108606.02737989917
2399,371391.34720329795
2148,198477.98150023475
304,109340.24604286975
1997,135004.21499234886
2817,101187.44687856361
1431,206053.78555454704
427,339525.12863056845
263,116248.4515959408
598,176943.89948811167
2895,219802.44142045948
687,118944.21176898706
1822,135642.79158777773
2191,97087.03624494531
179,132518.82148944255
1009,229049.4314646945
2010,135323.48319850635
1991,136960.80738200125
1411,189195.11804934154
1721,217300.5867245858
1144,195524.06849996938
593,212414.45970354235
575,307116.05423697695
1249,165633.40346245706
1604,122479.93693619064
1064,473192.2627263248
1923,156970.74182733212
1988,115776.34248048981
2325,166788.41412116383
114,208286.72546310973
2700,165915.40470672393
217,140422.64609657304
343,179804.70553708688
386,222342.94875173696
2005,126556.08052036614
2908,149117.18436111306
1814,240599.47778172913
2446,471544.2431330082
208,116168.05641026096
1679,110464.27805671806
822,298256.2382984873
6,190626.5037455046
1781,386656.27691957244
2397,297198.0530830025
2340,331678.52790515084
1618,168936.29608036828
2843,147214.59064974607
1061,366653.5566596585
2786,123506.06320815935
1935,141802.53874462371
1341,100533.76525616134
521,255884.56221010775
2136,127414.79850237462
996,204749.44552578015
227,128698.72572248772
135,190065.58889771864
1167,150547.4516076664
294,240180.3310242984
1776,218686.24288164225
540,154006.38572022045
1717,231593.71579944523
2303,129784.98628070374
116,183627.8028542988
127,142379.8697136923
